"ID","ACC"
"AFFX-Os-r2-P1-cre-3_s_at","AFFX-Os-r2-P1-cre-3_s_at"
"AFFX-Os-r2-P1-cre-5_s_at","AFFX-Os-r2-P1-cre-5_s_at"
"AFFX-Os-TrpnX-3_at","AFFX-Os-TrpnX-3_at"
"AFFX-Os-TrpnX-5_at","AFFX-Os-TrpnX-5_at"
"AFFX-Os-TrpnX-M_at","AFFX-Os-TrpnX-M_at"
"AFFX-Os_18SrRNA_at","ENSRNA049471102"
"AFFX-Os_28SrRNA_at","AFFX-Os_28SrRNA_at"
"AFFX-Os_Actin_3_at","Os03g0718100"
"AFFX-Os_Actin_5_f_at","Os03g0718100"
"AFFX-Os_Actin_M_s_at","Os03g0718100"
"AFFX-Os_Cyph_3_at","Os09g0571400"
"AFFX-Os_Cyph_5_at","Os09g0571400"
"AFFX-Os_Cyph_M_at","Os09g0571400"
"AFFX-Os_Gapdh_3_at","Os08g0126300"
"AFFX-Os_Gapdh_5_at","Os08g0126300"
"AFFX-Os_Gapdh_M_at","Os08g0126300"
"AFFX-Os_Ubiquitin_3_s_at","Os06g0681400"
"AFFX-Os_Ubiquitin_5_f_at","Os06g0681400"
"AFFX-Os_Ubiquitin_M_f_at","Os02g0161900"
"AFFX-PheX-3_at","AFFX-PheX-3_at"
"AFFX-PheX-5_at","AFFX-PheX-5_at"
"AFFX-PheX-M_at","AFFX-PheX-M_at"
"AFFX-r2-Bs-dap-3_at","AFFX-r2-Bs-dap-3_at"
"AFFX-r2-Bs-dap-5_at","AFFX-r2-Bs-dap-5_at"
"AFFX-r2-Bs-dap-M_at","AFFX-r2-Bs-dap-M_at"
"AFFX-r2-Bs-lys-3_at","AFFX-r2-Bs-lys-3_at"
"AFFX-r2-Bs-lys-5_at","AFFX-r2-Bs-lys-5_at"
"AFFX-r2-Bs-lys-M_at","AFFX-r2-Bs-lys-M_at"
"AFFX-r2-Bs-phe-3_at","AFFX-r2-Bs-phe-3_at"
"AFFX-r2-Bs-phe-5_at","AFFX-r2-Bs-phe-5_at"
"AFFX-r2-Bs-phe-M_at","AFFX-r2-Bs-phe-M_at"
"AFFX-r2-Bs-thr-3_s_at","AFFX-r2-Bs-thr-3_s_at"
"AFFX-r2-Bs-thr-5_s_at","AFFX-r2-Bs-thr-5_s_at"
"AFFX-r2-Bs-thr-M_s_at","AFFX-r2-Bs-thr-M_s_at"
"AFFX-r2-Ec-bioB-3_at","AFFX-r2-Ec-bioB-3_at"
"AFFX-r2-Ec-bioB-5_at","AFFX-r2-Ec-bioB-5_at"
"AFFX-r2-Ec-bioB-M_at","AFFX-r2-Ec-bioB-M_at"
"AFFX-r2-Ec-bioC-3_at","AFFX-r2-Ec-bioC-3_at"
"AFFX-r2-Ec-bioC-5_at","AFFX-r2-Ec-bioC-5_at"
"AFFX-r2-Ec-bioD-3_at","AFFX-r2-Ec-bioD-3_at"
"AFFX-r2-Ec-bioD-5_at","AFFX-r2-Ec-bioD-5_at"
"AFFX-r2-P1-cre-3_at","AFFX-r2-P1-cre-3_at"
"AFFX-r2-P1-cre-5_at","AFFX-r2-P1-cre-5_at"
"AFFX-r2-TagA_at","AFFX-r2-TagA_at"
"AFFX-r2-TagB_at","AFFX-r2-TagB_at"
"AFFX-r2-TagC_at","AFFX-r2-TagC_at"
"AFFX-r2-TagD_at","AFFX-r2-TagD_at"
"AFFX-r2-TagE_at","AFFX-r2-TagE_at"
"AFFX-r2-TagF_at","AFFX-r2-TagF_at"
"AFFX-r2-TagG_at","AFFX-r2-TagG_at"
"AFFX-r2-TagH_at","AFFX-r2-TagH_at"
"AFFX-r2-TagIN-3_at","AFFX-r2-TagIN-3_at"
"AFFX-r2-TagIN-5_at","AFFX-r2-TagIN-5_at"
"AFFX-r2-TagIN-M_at","AFFX-r2-TagIN-M_at"
"AFFX-r2-TagJ-3_at","AFFX-r2-TagJ-3_at"
"AFFX-r2-TagJ-5_at","AFFX-r2-TagJ-5_at"
"AFFX-r2-TagO-3_at","AFFX-r2-TagO-3_at"
"AFFX-r2-TagO-5_at","AFFX-r2-TagO-5_at"
"AFFX-r2-TagQ-3_at","AFFX-r2-TagQ-3_at"
"AFFX-r2-TagQ-5_at","AFFX-r2-TagQ-5_at"
"AFFX-ThrX-3_at","AFFX-ThrX-3_at"
"AFFX-ThrX-5_at","AFFX-ThrX-5_at"
"AFFX-ThrX-M_at","AFFX-ThrX-M_at"
"AFFX-TrpnX-3_at","AFFX-TrpnX-3_at"
"AFFX-TrpnX-5_at","AFFX-TrpnX-5_at"
"AFFX-TrpnX-M_at","AFFX-TrpnX-M_at"
"Os.1.1.S1_s_at","Os07g0147900"
"Os.10.1.S1_s_at","Os03g0669200"
"Os.1000.1.S1_at","Os01g0106400"
"Os.10001.1.S1_at","Os02g0326000"
"Os.10002.1.S1_at","Os07g0664600"
"Os.10003.1.S1_at","Os01g0235100"
"Os.10004.1.S1_s_at","Os02g0196700"
"Os.10006.1.S1_at","Os01g0663300"
"Os.10006.2.S1_x_at","Os01g0663300"
"Os.10007.1.A1_a_at","Os06g0256200"
"Os.10007.2.S1_a_at","Os06g0256200"
"Os.10010.1.S1_at","Os11g0587500"
"Os.10011.1.S1_at","Os06g0709000"
"Os.10013.1.S1_at","Os10g0453900"
"Os.10014.1.S1_at","Os.10014.1.S1_at"
"Os.10015.1.S1_at","Os03g0139200"
"Os.10015.1.S1_s_at","Os03g0139200"
"Os.10016.1.S1_a_at","Os01g0763000"
"Os.10017.1.S1_at","Os01g0556400"
"Os.10018.1.S1_at","Os02g0650300"
"Os.10019.1.S1_a_at","Os07g0562800"
"Os.10020.1.S1_at","Os04g0626100"
"Os.10021.1.S1_at","Os12g0482700"
"Os.10023.1.S1_at","Os02g0523300"
"Os.10024.1.S1_at","Os04g0542800"
"Os.10025.1.S1_a_at","Os12g0626400"
"Os.10026.1.S1_at","Os02g0142100"
"Os.10027.1.S1_at","Os04g0125700"
"Os.10028.1.S1_x_at","Os04g0367400"
"Os.10028.2.S1_at","Os04g0367400"
"Os.10029.1.S1_at","Os07g0639000"
"Os.10030.1.S1_at","Os.10030.1.S1_at"
"Os.10031.1.S1_at","Os05g0426000"
"Os.10032.1.S1_at","Os05g0513800"
"Os.10033.1.S1_at","Os05g0227700"
"Os.10034.1.S1_at","Os07g0624700"
"Os.10037.1.S1_at","Os07g0661300"
"Os.10038.1.S1_s_at","Os05g0438201"
"Os.10039.1.S1_at","Os12g0166000"
"Os.10041.1.S1_at","Os02g0330200"
"Os.10042.1.S1_at","Os09g0434200"
"Os.10043.1.S1_at","Os11g0602300"
"Os.10044.1.S1_at","Os04g0636600"
"Os.10044.1.S2_at","Os04g0636600"
"Os.10046.1.S1_at","Os07g0480300"
"Os.10048.1.S1_at","Os02g0481000"
"Os.1005.1.S1_at","Os01g0106900"
"Os.10050.1.S1_at","Os01g0844900"
"Os.10051.1.S1_at","Os09g0541700"
"Os.10052.1.S1_at","Os02g0152500"
"Os.10054.1.S1_at","Os02g0693400"
"Os.10055.1.S1_at","Os01g0231500"
"Os.10055.2.S1_at","Os01g0231500"
"Os.10056.1.S1_at","Os08g0487800"
"Os.10057.1.S1_at","Os12g0618300"
"Os.10058.1.S1_at","Os05g0380900"
"Os.10059.1.S1_at","Os10g0487600"
"Os.10059.2.S1_at","Os10g0487600"
"Os.10060.1.S1_at","Os09g0454200"
"Os.10061.1.S1_at","Os07g0583600"
"Os.10062.1.S1_at","Os05g0510300"
"Os.10063.1.S1_at","Os05g0228400"
"Os.10063.2.S1_at","Os04g0381400"
"Os.10065.1.S1_at","Os07g0501900"
"Os.10066.1.A1_at","Os.10066.1.A1_at"
"Os.10066.1.A1_x_at","Os08g0480500"
"Os.10066.2.S1_at","Os08g0480500"
"Os.10068.1.S1_at","Os11g0604600"
"Os.10071.1.S1_at","Os12g0640500"
"Os.10074.1.S1_at","Os11g0169100"
"Os.10075.1.S1_at","Os07g0484200"
"Os.10076.1.S1_at","Os08g0436000"
"Os.10077.1.S1_at","Os02g0461900"
"Os.10077.2.S1_at","Os02g0461900"
"Os.10078.1.S1_at","Os09g0491708"
"Os.10079.1.S1_at","Os03g0241600"
"Os.10080.1.S1_at","Os02g0123200"
"Os.10081.1.S1_at","Os05g0517500"
"Os.10082.1.S1_at","Os11g0591100"
"Os.10083.1.S1_at","Os04g0592600"
"Os.10084.1.A1_at","Os11g0264300"
"Os.10084.2.A1_at","Os11g0264300"
"Os.10084.3.S1_at","Os11g0264300"
"Os.10085.1.S1_at","Os04g0494400"
"Os.10086.1.S1_at","Os05g0173800"
"Os.10087.1.S1_at","Os04g0601800"
"Os.10088.1.S1_a_at","Os01g0936200"
"Os.10091.1.S1_at","Os03g0302800"
"Os.10093.1.A1_at","Os01g0539400"
"Os.10093.2.S1_at","Os07g0238700"
"Os.10093.3.S1_x_at","Os07g0238700"
"Os.10093.4.S1_s_at","Os01g0539400"
"Os.10093.4.S1_x_at","Os01g0539400"
"Os.10094.1.S1_at","Os07g0673100"
"Os.10095.1.S1_at","Os.10095.1.S1_at"
"Os.10096.1.S1_a_at","Os01g0151600"
"Os.10096.1.S1_at","Os01g0151600"
"Os.10096.2.S1_at","Os.10096.2.S1_at"
"Os.10096.2.S1_x_at","Os01g0151600"
"Os.10097.1.S1_at","Os04g0244800"
"Os.10098.1.S1_at","Os03g0305700"
"Os.10099.1.S1_at","Os03g0242300"
"Os.10099.2.S1_at","Os03g0242300"
"Os.10101.1.S1_at","Os05g0441400"
"Os.10102.1.S1_at","Os01g0863500"
"Os.10104.1.S1_at","Os04g0486900"
"Os.10105.1.S1_at","Os01g0232400"
"Os.10105.2.S1_at","Os.10105.2.S1_at"
"Os.10105.3.A1_at","Os01g0232400"
"Os.10105.3.S1_x_at","Os01g0232400"
"Os.10107.1.S1_at","Os04g0683600"
"Os.10107.2.S1_x_at","Os04g0683600"
"Os.10108.1.S1_at","Os08g0420800"
"Os.10109.1.S1_at","Os12g0601300"
"Os.10110.1.S1_at","Os.10110.1.S1_at"
"Os.10111.1.S1_at","Os03g0350300"
"Os.10112.1.S1_at","Os08g0530200"
"Os.10113.1.S1_at","Os08g0502700"
"Os.10115.1.S1_at","Os01g0545100"
"Os.10116.1.S1_at","Os02g0178400"
"Os.10117.1.S1_at","Os04g0491700"
"Os.10118.1.S1_at","Os09g0553200"
"Os.10119.1.S1_a_at","Os05g0178900"
"Os.10120.1.S1_at","Os06g0555400"
"Os.10120.1.S2_a_at","Os11g0116200"
"Os.10120.2.S1_at","Os11g0116200"
"Os.10120.3.S1_at","Os02g0229000"
"Os.10121.1.S1_at","Os01g0837800"
"Os.10122.1.S1_at","Os01g0507700"
"Os.10123.1.S1_at","Os01g0793500"
"Os.10123.2.S1_x_at","Os01g0793500"
"Os.10124.3.S1_x_at","Os07g0446100"
"Os.10125.1.S1_a_at","Os02g0716500"
"Os.10126.1.S1_at","Os09g0412300"
"Os.10128.1.S1_at","Os08g0545200"
"Os.10128.2.A1_at","Os08g0545300"
"Os.10129.1.S1_at","Os04g0105700"
"Os.10130.3.S1_a_at","Os05g0135700"
"Os.10131.1.S1_a_at","Os05g0595100"
"Os.10131.3.A1_at","Os05g0595200"
"Os.10131.4.A1_at","Os05g0595200"
"Os.10132.1.S1_at","Os09g0533400"
"Os.10134.1.S1_at","Os11g0220800"
"Os.10135.1.S1_at","Os01g0681600"
"Os.10136.1.S1_at","Os05g0560000"
"Os.10137.1.S1_a_at","Os06g0175500"
"Os.10138.2.S1_a_at","Os03g0182600"
"Os.10139.1.S1_s_at","Os06g0681400"
"Os.10140.1.S1_at","Os08g0543600"
"Os.10141.1.S1_at","Os03g0748700"
"Os.10143.1.S1_at","Os02g0739600"
"Os.10144.1.S1_at","Os08g0532200"
"Os.10146.1.S1_at","Os03g0807900"
"Os.10148.1.S1_at","Os04g0549600"
"Os.10149.1.S1_at","Os04g0395600"
"Os.10149.1.S1_x_at","Os04g0395600"
"Os.10149.2.S1_at","Os04g0395600"
"Os.10150.1.S1_at","Os03g0231600"
"Os.10151.1.S1_at","Os11g0455800"
"Os.10152.1.S1_at","Os06g0152100"
"Os.10153.1.S1_at","Os12g0548200"
"Os.10153.1.S2_at","Os12g0548200"
"Os.10154.1.S1_at","Os10g0462800"
"Os.10155.1.S1_at","Os05g0111200"
"Os.10156.1.S1_a_at","Os03g0828100"
"Os.10158.1.S1_at","Os07g0631100"
"Os.10159.1.S1_at","Os03g0844100"
"Os.10160.1.S1_at","Os05g0514300"
"Os.10162.1.S1_at","Os01g0384800"
"Os.10164.1.S1_at","Os09g0527900"
"Os.10166.1.S1_at","Os04g0494100"
"Os.10167.1.S1_at","Os02g0779500"
"Os.10167.1.S1_s_at","Os02g0779500"
"Os.10167.1.S1_x_at","Os02g0779500"
"Os.10168.1.S1_at","Os12g0438000"
"Os.10169.1.S1_at","Os06g0647400"
"Os.10171.1.S1_at","Os03g0103100"
"Os.10172.1.S1_at","Os02g0624300"
"Os.10174.1.S1_at","Os11g0700500"
"Os.10175.1.S1_at","Os05g0429900"
"Os.10175.2.A1_at","Os05g0429900"
"Os.10176.1.S1_at","Os07g0208500"
"Os.10177.1.S1_at","Os02g0104200"
"Os.10178.1.S1_a_at","Os07g0424400"
"Os.10178.2.S1_a_at","Os07g0424400"
"Os.10179.1.S1_at","Os06g0126500"
"Os.10180.1.S1_at","Os11g0481500"
"Os.10183.1.S1_at","Os05g0176100"
"Os.10183.1.S2_at","Os05g0176100"
"Os.10184.1.S1_s_at","Os06g0232000"
"Os.10185.1.S1_at","Os11g0513900"
"Os.10186.1.S1_s_at","Os08g0417100"
"Os.10187.1.S1_at","Os01g0316800"
"Os.10188.1.S1_at","Os08g0359500"
"Os.10189.1.S1_at","Os02g0604100"
"Os.10190.1.S1_at","Os01g0271500"
"Os.10191.1.S1_at","Os.10191.1.S1_at"
"Os.10192.1.S1_at","Os.10192.1.S1_at"
"Os.10193.1.S1_at","Os.10193.1.S1_at"
"Os.10194.1.S1_at","Os04g0489800"
"Os.10196.1.S1_at","Os.10196.1.S1_at"
"Os.10197.1.S1_at","Os11g0427700"
"Os.10198.1.S1_at","Os02g0265400"
"Os.10200.1.S1_at","Os08g0152400"
"Os.10201.1.S1_at","Os06g0189600"
"Os.10202.1.S1_at","Os04g0348300"
"Os.10203.1.S1_at","Os10g0533900"
"Os.10204.1.S1_at","Os01g0191900"
"Os.10206.1.S1_at","Os09g0422500"
"Os.10208.1.S1_at","Os07g0175200"
"Os.10209.1.S1_x_at","Os06g0104400"
"Os.10209.2.S1_at","Os06g0104400"
"Os.10209.3.S1_x_at","Os06g0104400"
"Os.1021.1.S1_at","Os01g0612700"
"Os.10211.1.S1_at","Os02g0557000"
"Os.10212.1.S1_at","Os01g0172300"
"Os.10214.1.S1_at","Os01g0923000"
"Os.10215.1.S1_at","Os02g0105400"
"Os.10215.2.A1_at","Os02g0105300"
"Os.10216.1.S1_at","Os03g0831800"
"Os.10217.1.S1_a_at","Os04g0151800"
"Os.10219.1.S1_at","Os02g0780600"
"Os.10220.1.S1_at","Os07g0687700"
"Os.10221.1.S1_at","Os01g0668000"
"Os.10222.1.S1_s_at","Os08g0477800"
"Os.10223.1.S1_at","Os.10223.1.S1_at"
"Os.10224.1.S1_at","Os02g0613600"
"Os.10225.1.S1_at","Os05g0280700"
"Os.10226.1.A1_at","Os.10226.1.A1_at"
"Os.10227.1.S1_at","Os01g0752400"
"Os.10232.1.A1_at","Os.10232.1.A1_at"
"Os.10234.1.S1_at","Os07g0246300"
"Os.10235.1.S1_at","Os07g0685000"
"Os.10238.1.S1_at","Os04g0474300"
"Os.10240.1.S1_at","Os01g0878800"
"Os.10240.2.A1_at","Os01g0878800"
"Os.10241.1.S1_at","Os12g0616200"
"Os.10244.1.S1_s_at","Os.10244.1.S1_s_at"
"Os.10245.1.S1_at","Os04g0450000"
"Os.10246.1.S1_at","Os02g0235000"
"Os.10246.2.S1_at","Os05g0438700"
"Os.10246.3.S1_at","Os06g0159450"
"Os.10246.4.S1_x_at","Os.10246.4.S1_x_at"
"Os.10246.5.S1_at","Os06g0160001"
"Os.10247.1.S1_a_at","Os07g0213400"
"Os.10251.1.S1_at","Os10g0472900"
"Os.10252.1.S1_s_at","Os02g0313500"
"Os.10253.1.S1_at","Os02g0219900"
"Os.10254.1.S1_at","Os08g0494300"
"Os.10255.1.S1_s_at","Os.10255.1.S1_s_at"
"Os.10256.1.S1_at","Os03g0390000"
"Os.10257.1.S1_at","Os02g0511500"
"Os.10257.1.S1_x_at","Os02g0511500"
"Os.10258.1.S1_at","Os01g0918500"
"Os.10259.1.S1_at","Os08g0500700"
"Os.10260.1.S1_at","Os02g0753200"
"Os.10261.1.S1_at","Os08g0150800"
"Os.10262.1.S1_at","Os08g0113300"
"Os.10263.1.S1_at","Os11g0550300"
"Os.10264.1.S1_at","Os06g0153600"
"Os.10264.2.S1_at","Os06g0153600"
"Os.10266.1.S1_at","Os03g0629800"
"Os.10268.1.S1_at","Os.10268.1.S1_at"
"Os.10270.1.S1_at","Os01g0263000"
"Os.10271.1.S1_x_at","Os01g0263600"
"Os.10271.2.S1_x_at","Os01g0263600"
"Os.10272.1.S1_at","Os08g0300300"
"Os.10273.1.S1_at","Os08g0409500"
"Os.10274.1.S1_a_at","Os12g0132200"
"Os.10274.3.S1_at","Os12g0132300"
"Os.10274.4.S1_at","Os12g0132200"
"Os.10275.1.S1_at","Os02g0744900"
"Os.10276.1.S1_at","Os07g0223400"
"Os.10276.2.S1_at","Os07g0223100"
"Os.10277.1.S1_at","Os04g0175900"
"Os.10278.1.S1_at","Os06g0525000"
"Os.10279.1.S1_at","Os01g0865100"
"Os.10280.1.A1_at","Os02g0137700"
"Os.10281.1.S1_at","Os09g0240500"
"Os.10281.2.S1_at","Os09g0240500"
"Os.10281.2.S1_x_at","Os09g0240500"
"Os.10283.1.S1_at","Os04g0102600"
"Os.10285.1.S1_at","Os08g0302000"
"Os.10286.1.S1_x_at","Os07g0210000"
"Os.10286.2.A1_at","Os.10286.2.A1_at"
"Os.10287.1.S1_at","Os07g0104100"
"Os.10289.1.S1_at","Os05g0371200"
"Os.10290.1.S1_at","Os05g0491100"
"Os.10292.1.S1_at","Os01g0268100"
"Os.10293.1.S1_at","Os07g0617000"
"Os.10294.1.S1_at","Os05g0594100"
"Os.10295.1.S1_at","Os.10295.1.S1_at"
"Os.10298.1.S1_at","Os11g0579800"
"Os.10299.1.S1_at","Os05g0364600"
"Os.10300.1.S1_at","Os01g0108400"
"Os.10300.1.S1_x_at","Os01g0108400"
"Os.10303.1.S1_at","Os.10303.1.S1_at"
"Os.10303.1.S2_at","Os.10303.1.S2_at"
"Os.10303.1.S3_at","Os.10303.1.S3_at"
"Os.10305.1.S1_at","Os08g0531000"
"Os.10306.2.S1_x_at","Os01g0347100"
"Os.10307.1.S1_at","Os06g0144800"
"Os.10308.1.S1_at","Os06g0264300"
"Os.10309.1.S1_at","Os09g0346400"
"Os.10310.1.S1_at","Os01g0564300"
"Os.10310.2.S1_at","Os.10310.2.S1_at"
"Os.10311.1.S1_a_at","Os06g0254300"
"Os.10311.2.A1_s_at","Os06g0254300"
"Os.10311.2.A1_x_at","Os06g0254300"
"Os.10312.1.S1_at","Os05g0420600"
"Os.10314.1.S1_a_at","Os02g0795300"
"Os.10315.1.S1_at","Os11g0441500"
"Os.10316.1.S1_at","Os01g0575200"
"Os.10317.1.S1_at","Os.10317.1.S1_at"
"Os.10319.1.S1_at","Os12g0163600"
"Os.10320.1.S1_x_at","Os01g0259600"
"Os.10321.1.S1_at","Os09g0241700"
"Os.10322.1.S1_s_at","Os07g0569100"
"Os.10323.1.S1_at","Os08g0171100"
"Os.10324.1.S1_at","Os04g0474550"
"Os.10324.2.S1_at","Os04g0474500"
"Os.10326.1.S1_at","Os12g0239300"
"Os.10328.1.S1_at","Os03g0764900"
"Os.10333.1.S1_at","Os07g0119300"
"Os.10334.1.S1_at","Os03g0764800"
"Os.10335.1.S1_at","Os01g0562600"
"Os.10336.1.S1_at","Os03g0706900"
"Os.10337.1.S1_x_at","Os02g0217600"
"Os.10337.2.S1_at","Os02g0217600"
"Os.10338.1.S1_x_at","Os05g0499100"
"Os.10338.2.S1_at","Os05g0499100"
"Os.10339.1.S1_at","Os03g0141200"
"Os.10340.1.S1_at","Os03g0278200"
"Os.10342.1.S1_at","Os02g0816800"
"Os.10342.1.S1_s_at","Os02g0816800"
"Os.10344.1.S1_at","Os12g0512100"
"Os.10346.1.S1_at","Os01g0728300"
"Os.10348.1.S1_at","Os01g0597800"
"Os.10351.1.S1_a_at","Os08g0517200"
"Os.10351.2.S1_at","Os08g0517200"
"Os.10351.5.S1_x_at","Os.10351.5.S1_x_at"
"Os.10352.1.S1_at","Os05g0105000"
"Os.10353.1.S1_at","Os01g0168500"
"Os.10353.2.S1_at","Os.10353.2.S1_at"
"Os.10355.1.S1_at","Os.10355.1.S1_at"
"Os.10355.1.S1_x_at","Os.10355.1.S1_x_at"
"Os.10356.1.S1_at","Os03g0180900"
"Os.10358.1.A1_at","Os10g0132300"
"Os.10359.1.S1_at","Os03g0281000"
"Os.10360.1.S1_at","Os10g0525000"
"Os.10361.1.S1_at","Os12g0163500"
"Os.10369.1.S1_a_at","Os01g0809300"
"Os.10370.1.S1_at","Os06g0316800"
"Os.10370.1.S1_x_at","Os06g0316800"
"Os.10370.2.S1_at","Os07g0673550"
"Os.10370.2.S1_x_at","Os07g0673550"
"Os.10371.1.S1_at","Os11g0242100"
"Os.10373.1.S1_at","Os07g0605400"
"Os.10374.1.S1_at","Os12g0118400"
"Os.10374.2.S1_at","Os12g0118400"
"Os.10375.1.S1_at","Os02g0694300"
"Os.10376.1.S1_at","Os02g0554300"
"Os.10377.1.S1_at","Os01g0897200"
"Os.10378.1.A1_at","Os.10378.1.A1_at"
"Os.10378.2.A1_s_at","Os01g0955700"
"Os.10378.3.S1_s_at","Os01g0955700"
"Os.10379.1.S1_at","Os02g0731500"
"Os.10380.1.S1_at","Os09g0360900"
"Os.10381.1.S1_at","Os06g0154400"
"Os.10382.1.S1_at","Os07g0176200"
"Os.10383.1.S1_at","Os07g0202900"
"Os.10384.1.S1_at","Os03g0207400"
"Os.10385.1.S1_at","Os03g0760600"
"Os.10386.1.S1_at","Os04g0459600"
"Os.10387.1.S1_a_at","Os02g0820000"
"Os.10388.1.S1_at","Os03g0265900"
"Os.10389.1.S1_at","Os03g0760700"
"Os.10390.1.S1_at","Os03g0762500"
"Os.10391.1.S1_a_at","Os05g0594700"
"Os.10392.1.S1_at","Os02g0821900"
"Os.10393.1.S1_at","Os02g0690800"
"Os.10394.1.S1_at","Os08g0532600"
"Os.10394.2.S1_at","Os08g0532700"
"Os.10395.1.S1_s_at","Os02g0127300"
"Os.10398.1.S1_at","Os03g0183100"
"Os.10398.1.S2_at","Os03g0183100"
"Os.10399.1.S1_at","Os05g0114000"
"Os.10400.1.S1_at","Os02g0452500"
"Os.10401.1.S1_s_at","Os08g0535200"
"Os.10402.1.S1_x_at","Os01g0933400"
"Os.10403.1.S1_at","Os03g0761500"
"Os.10404.1.S1_at","Os07g0110500"
"Os.10405.1.S1_at","ENSRNA049467602"
"Os.10406.1.S1_at","Os05g0486700"
"Os.10407.1.S1_x_at","Os.10407.1.S1_x_at"
"Os.10409.1.A1_at","Os11g0661900"
"Os.1041.1.S1_x_at","Os01g0614900"
"Os.10410.1.S1_at","Os08g0114100"
"Os.10411.1.S1_at","Os01g0839100"
