"ID","ACC"
"AFFX-BioB-3_at","AFFX-BioB-3_at"
"AFFX-BioB-5_at","AFFX-BioB-5_at"
"AFFX-BioB-M_at","AFFX-BioB-M_at"
"AFFX-BioC-3_at","AFFX-BioC-3_at"
"AFFX-BioC-5_at","AFFX-BioC-5_at"
"AFFX-BioDn-3_at","AFFX-BioDn-3_at"
"AFFX-BioDn-5_at","AFFX-BioDn-5_at"
"AFFX-CreX-3_at","AFFX-CreX-3_at"
"AFFX-CreX-5_at","AFFX-CreX-5_at"
"AFFX-DapX-3_at","AFFX-DapX-3_at"
"AFFX-DapX-5_at","AFFX-DapX-5_at"
"AFFX-DapX-M_at","AFFX-DapX-M_at"
"AFFX-LysX-3_at","AFFX-LysX-3_at"
"AFFX-LysX-5_at","AFFX-LysX-5_at"
"AFFX-LysX-M_at","AFFX-LysX-M_at"
"AFFX-Mgr-actin-3_at","AFFX-Mgr-actin-3_at"
"AFFX-Mgr-actin-5_at","AFFX-Mgr-actin-5_at"
"AFFX-Mgr-actin-M_at","AFFX-Mgr-actin-M_at"
"AFFX-Mgr-ef1a-3_at","AFFX-Mgr-ef1a-3_at"
"AFFX-Mgr-ef1a-3_x_at","AFFX-Mgr-ef1a-3_x_at"
"AFFX-Mgr-ef1a-5_at","AFFX-Mgr-ef1a-5_at"
"AFFX-Mgr-ef1a-M_at","AFFX-Mgr-ef1a-M_at"
"AFFX-Mgr-gapdh-3_at","AFFX-Mgr-gapdh-3_at"
"AFFX-Mgr-gapdh-5_at","AFFX-Mgr-gapdh-5_at"
"AFFX-Mgr-gapdh-M_at","AFFX-Mgr-gapdh-M_at"
"AFFX-OS-18SrRNA_s_at","ENSRNA049471102"
"AFFX-OS-25SrRNA_s_at","AFFX-OS-25SrRNA_s_at"
"AFFX-OS-5.8SrRNA_at","AFFX-OS-5.8SrRNA_at"
"AFFX-Os-actin-3_at","Os03g0718100"
"AFFX-Os-actin-3_s_at","Os03g0718100"
"AFFX-Os-actin-5_s_at","Os03g0718100"
"AFFX-Os-actin-M_s_at","Os03g0718100"
"AFFX-Os-ef1a-3_at","AFFX-Os-ef1a-3_at"
"AFFX-Os-ef1a-5_at","AFFX-Os-ef1a-5_at"
"AFFX-Os-ef1a-M_at","AFFX-Os-ef1a-M_at"
"AFFX-Os-gapdh-3_at","AFFX-Os-gapdh-3_at"
"AFFX-Os-gapdh-5_at","AFFX-Os-gapdh-5_at"
"AFFX-Os-gapdh-M_at","AFFX-Os-gapdh-M_at"
"AFFX-Os-r2-Bs-dap-3_at","AFFX-Os-r2-Bs-dap-3_at"
"AFFX-Os-r2-Bs-dap-5_at","AFFX-Os-r2-Bs-dap-5_at"
"AFFX-Os-r2-Bs-dap-M_at","AFFX-Os-r2-Bs-dap-M_at"
"AFFX-Os-r2-Bs-lys-3_at","AFFX-Os-r2-Bs-lys-3_at"
"AFFX-Os-r2-Bs-lys-5_at","AFFX-Os-r2-Bs-lys-5_at"
"AFFX-Os-r2-Bs-lys-M_at","AFFX-Os-r2-Bs-lys-M_at"
"AFFX-Os-r2-Bs-phe-3_at","AFFX-Os-r2-Bs-phe-3_at"
"AFFX-Os-r2-Bs-phe-5_at","AFFX-Os-r2-Bs-phe-5_at"
"AFFX-Os-r2-Bs-phe-M_at","AFFX-Os-r2-Bs-phe-M_at"
"AFFX-Os-r2-Bs-thr-3_s_at","AFFX-Os-r2-Bs-thr-3_s_at"
"AFFX-Os-r2-Bs-thr-5_s_at","AFFX-Os-r2-Bs-thr-5_s_at"
"AFFX-Os-r2-Bs-thr-M_s_at","AFFX-Os-r2-Bs-thr-M_s_at"
"AFFX-Os-r2-Ec-bioB-3_at","AFFX-Os-r2-Ec-bioB-3_at"
"AFFX-Os-r2-Ec-bioB-5_at","AFFX-Os-r2-Ec-bioB-5_at"
"AFFX-Os-r2-Ec-bioB-M_at","AFFX-Os-r2-Ec-bioB-M_at"
"AFFX-Os-r2-Ec-bioC-3_at","AFFX-Os-r2-Ec-bioC-3_at"
"AFFX-Os-r2-Ec-bioC-5_at","AFFX-Os-r2-Ec-bioC-5_at"
"AFFX-Os-r2-Ec-bioD-3_at","AFFX-Os-r2-Ec-bioD-3_at"
"AFFX-Os-r2-Ec-bioD-5_at","AFFX-Os-r2-Ec-bioD-5_at"
