"ID","ACC"
1,"1"
2,"2"
3,"3"
4,"4"
5,"5"
6,"6"
7,"7"
8,"8"
9,"9"
10,"10"
305,"Os06g0328800"
306,"Os09g0568000"
307,"Os02g0110200"
308,"Os07g0658400"
309,"Os06g0550000"
310,"310"
311,"Os01g0215100"
312,"Os03g0323100"
313,"Os02g0792900"
314,"Os01g0206800"
315,"Os03g0390600"
316,"Os08g0271600"
317,"Os03g0239400"
318,"Os03g0329500"
319,"Os06g0363900"
320,"Os06g0308200"
321,"Os01g0917400"
322,"Os09g0406500"
323,"Os10g0487400"
324,"Os03g0231600"
325,"Os04g0367000"
326,"Os03g0612400"
327,"Os08g0161500"
328,"Os06g0173100"
329,"Os02g0777100"
330,"Os04g0168000"
331,"Os09g0483600"
332,"332"
333,"333"
334,"334"
335,"335"
336,"336"
337,"337"
338,"338"
339,"339"
340,"340"
341,"341"
342,"342"
343,"343"
344,"344"
345,"345"
346,"346"
347,"347"
348,"348"
349,"349"
350,"Os11g0689500"
351,"Os02g0213000"
352,"Os06g0176900"
353,"Os06g0483500"
354,"Os03g0629800"
355,"Os07g0635200"
356,"Os05g0239900"
357,"Os12g0631800"
358,"Os05g0378800"
359,"Os07g0573800"
360,"Os02g0639800"
361,"Os07g0586500"
362,"Os02g0215400"
363,"Os02g0552200"
364,"Os10g0578100"
365,"Os03g0127600"
366,"Os12g0168900"
367,"Os03g0301800"
368,"Os10g0540100"
369,"Os10g0522800"
370,"osa-miR164c"
371,"Os08g0344700"
372,"Os08g0296700"
373,"Os01g0798200"
374,"Os01g0173600"
375,"Os08g0119800"
376,"Os07g0564200"
377,"Os01g0918300"
378,"Os01g0379600"
379,"Os09g0484300"
380,"Os01g0179700"
381,"Os07g0467200"
382,"Os02g0701900"
383,"Os12g0563600"
384,"Os01g0736900"
385,"Os01g0873200"
386,"Os03g0760900"
387,"Os03g0272400"
388,"Os09g0386500"
389,"Os02g0130200"
390,"Os01g0256300"
391,"Os01g0550700"
392,"Os01g0840700"
393,"Os04g0194500"
394,"Os05g0149600"
395,"Os01g0571900"
396,"Os05g0563400"
397,"Os12g0573800"
398,"Os11g0696900"
399,"Os04g0371600"
401,"Os09g0511600"
402,"Os03g0757000"
403,"Os01g0136200"
404,"Os05g0190500"
405,"Os05g0387300"
406,"Os03g0745000"
407,"Os07g0529600"
408,"Os01g0384800"
409,"Os06g0692700"
410,"Os07g0666900"
411,"Os03g0225900"
412,"Os07g0249800"
413,"Os03g0857500"
414,"Os06g0187200"
415,"Os02g0751100"
416,"Os03g0791800"
417,"Os08g0201100"
418,"418"
419,"419"
420,"420"
421,"421"
422,"422"
423,"423"
424,"424"
425,"425"
426,"426"
427,"427"
428,"428"
429,"429"
430,"430"
431,"431"
432,"432"
433,"433"
434,"Os01g0113000"
435,"Os10g0189600"
436,"Os06g0335500"
437,"Os11g0294300"
438,"Os05g0170000"
439,"Os04g0210700"
440,"Os02g0122300"
441,"Os04g0174200"
442,"Os11g0490100"
443,"Os03g0616300"
444,"Os03g0174600"
445,"Os10g0546400"
446,"Os08g0191800"
447,"Os12g0152800"
448,"Os02g0150200"
449,"Os02g0259100"
450,"POsControl0044"
451,"Os10g0468500"
452,"Os08g0522400"
453,"Os01g0162500"
454,"Os05g0326100"
455,"Os03g0577200"
456,"Os05g0412900"
457,"Os01g0253900"
458,"Os12g0257800"
459,"Os03g0425100"
460,"Os03g0114100"
461,"Os10g0580100"
462,"Os04g0602000"
463,"Os01g0825700"
464,"Os03g0729200"
465,"Os04g0482700"
466,"Os12g0170600"
467,"Os01g0567300"
468,"Os03g0119000"
469,"Os08g0159900"
470,"Os03g0702700"
471,"Os04g0549500"
472,"Os05g0556600"
473,"Os09g0266300"
474,"Os04g0284600"
475,"Os05g0189300"
476,"Os12g0464200"
477,"Os09g0365900"
478,"Os07g0658300"
479,"Os03g0802800"
480,"Os01g0167100"
481,"Os03g0828600"
482,"Os07g0281000"
483,"Os08g0165200"
484,"POsControl0001"
485,"Os10g0502600"
486,"Os01g0920000"
487,"Os05g0191700"
488,"Os09g0345000"
489,"Os01g0106600"
490,"Os03g0360700"
491,"Os01g0301700"
492,"Os03g0106300"
493,"Os10g0124000"
494,"Os04g0412300"
495,"Os02g0305200"
496,"Os05g0472300"
497,"Os04g0630900"
498,"Os06g0542200"
499,"Os08g0410900"
500,"Os07g0490100"
501,"Os01g0616100"
502,"Os05g0556700"
503,"503"
504,"504"
505,"505"
506,"506"
507,"507"
508,"508"
509,"509"
510,"510"
511,"511"
512,"512"
513,"513"
514,"514"
515,"515"
516,"516"
517,"517"
518,"518"
519,"Os09g0246100"
520,"Os07g0229200"
521,"Os03g0248600"
522,"Os01g0848400"
523,"Os08g0476700"
524,"Os05g0481900"
525,"PZmControl0003"
526,"Os05g0106100"
527,"Os05g0426200"
528,"Os02g0197900"
529,"Os10g0507000"
530,"Os04g0379300"
531,"Os05g0427300"
532,"Os02g0317700"
533,"Os03g0431800"
534,"Os04g0653200"
535,"Os08g0387500"
536,"Os02g0616100"
537,"Os05g0132700"
538,"Os06g0523900"
539,"Os09g0322000"
540,"Os01g0191800"
541,"Os02g0833400"
542,"PZmControl0001"
543,"Os04g0262800"
544,"Os06g0257200"
545,"Os03g0138400"
546,"Os02g0700600"
547,"Os05g0135200"
548,"POsControl0021"
549,"Os02g0726400"
550,"Os03g0841100"
551,"Os03g0568800"
552,"Os10g0150400"
553,"Os05g0129300"
554,"Os08g0305300"
555,"Os04g0457500"
556,"556"
557,"Os05g0280700"
558,"Os11g0524300"
559,"Os03g0120900"
560,"Os02g0736400"
561,"Os07g0649300"
562,"Os06g0183900"
563,"Os03g0250200"
564,"Os02g0236000"
565,"Os02g0250700"
566,"Os08g0509100"
567,"Os09g0248000"
